2025-06-23 13:57:34.707 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 9788 (C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api)
2025-06-23 13:57:34.725 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 13:58:26.738 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 5516 (C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api)
2025-06-23 13:58:26.740 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 13:58:28.487 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 6832 (C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api)
2025-06-23 13:58:28.490 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 13:58:37.943 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 13.074 seconds (process running for 15.84)
2025-06-23 13:59:00.601 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 1036 (C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\project-rest-api)
2025-06-23 13:59:00.605 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 13:59:09.576 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 9.843 seconds (process running for 11.124)
2025-06-23 14:14:13.636 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 9900 (C:\Szkola\Adv_Obj_Porgramming_Java\lab4\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\lab4)
2025-06-23 14:14:13.678 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 14:14:19.521 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.6 with PID 11496 (C:\Szkola\Adv_Obj_Porgramming_Java\lab4\build\classes\java\main started by HP in C:\Szkola\Adv_Obj_Porgramming_Java\lab4)
2025-06-23 14:14:19.526 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-23 14:14:41.317 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 31.48 seconds (process running for 35.637)
